,0
0,-52.866455
1,-47.022392
2,-65.88634
3,-75.04261
4,-76.17918
5,-69.567535
6,-42.91771
7,-34.65616
8,-6.2327313
9,-9.8431
10,-23.089882
11,-55.18566
12,-124.9498
13,-118.71303
14,-120.038574
15,-116.53305
16,-120.622025
17,-120.73114
18,-82.5744
19,-84.362595
20,-104.16982
21,-108.95172
22,-96.52761
23,-99.18138
24,-112.20735
25,-102.12187
26,-111.16234
27,-122.373436
28,-122.976425
29,-126.716446
30,-108.20058
31,-117.30231
32,-114.74573
33,-112.96927
34,-102.94753
35,-98.22598
36,-105.6947
37,-98.07236
38,-91.48559
39,-59.771038
40,-69.178764
41,-97.35736
42,-50.155025
43,-86.549385
44,-125.108826
45,-114.3705
46,-111.465225
47,-116.95853
48,-120.85034
49,-120.7908
50,-104.62358
51,-95.097626
52,-111.027435
53,-82.017334
54,-28.175587
55,-34.819847
56,-69.663086
57,-37.65067
58,-117.2397
59,-31.257938
60,-122.891205
61,-126.67863
62,-117.18291
63,-117.716736
