steps,Pump Status,Pressure,Flow,Likelihoods,time
0,1.0,2495.41,2.27127,0.9999413132147018,2017-10-11 10:54:40
1,1.0,2495.41,2.27127,0.9999413858937227,2017-10-11 10:54:41
2,1.0,2495.41,2.27127,0.9999413206858182,2017-10-11 10:54:42
3,1.0,2495.41,2.27127,0.9999410498130198,2017-10-11 10:54:43
4,1.0,2497.38,2.27918,0.9999411362090106,2017-10-11 10:54:44
5,1.0,2497.38,2.27918,0.9999372642281933,2017-10-11 10:54:45
6,1.0,2497.38,2.27918,0.9999375504018383,2017-10-11 10:54:46
7,1.0,2497.38,2.27918,0.9999370581748013,2017-10-11 10:54:47
8,1.0,2497.38,2.27918,0.9999374782906222,2017-10-11 10:54:48
9,1.0,2497.38,2.27918,0.9999373422864181,2017-10-11 10:54:49
10,1.0,2495.03,2.27535,0.9999370439199111,2017-10-11 10:54:50
11,1.0,2495.03,2.27535,0.9999399215548963,2017-10-11 10:54:51
12,1.0,2495.03,2.27535,0.9999403473487657,2017-10-11 10:54:52
13,1.0,2495.03,2.27535,0.9999402131077451,2017-10-11 10:54:53
14,1.0,2495.03,2.27535,0.9999400746231304,2017-10-11 10:54:54
15,1.0,2495.03,2.27535,0.9999402223121605,2017-10-11 10:54:55
16,2.0,2493.79,2.2716,0.9999397187887955,2017-10-11 10:54:56
17,2.0,2493.79,2.2716,0.006147574111945436,2017-10-11 10:54:57
18,2.0,2493.79,2.2716,0.005020268944262396,2017-10-11 10:54:58
19,2.0,2493.79,2.2716,0.006332959168295506,2017-10-11 10:54:59
20,2.0,2493.79,2.2716,0.0067391660415194775,2017-10-11 10:55:00
21,2.0,2497.7,3.27709,0.005669698073655129,2017-10-11 10:55:01
22,2.0,2497.7,3.27709,0.005736715781381549,2017-10-11 10:55:02
23,2.0,2497.7,3.27709,0.005515710354349492,2017-10-11 10:55:03
24,2.0,2497.7,3.27709,0.002170149662614976,2017-10-11 10:55:04
25,2.0,2497.7,3.27709,0.0019634046245329243,2017-10-11 10:55:05
26,2.0,2497.7,3.27709,0.00116421080947211,2017-10-11 10:55:06
27,2.0,2497.83,3.64241,0.0033221809982628327,2017-10-11 10:55:07
28,2.0,2497.83,3.64241,0.0025707870277082595,2017-10-11 10:55:08
29,2.0,2497.83,3.64241,0.005117888345014579,2017-10-11 10:55:09
30,2.0,2497.83,3.64241,0.008114406126097247,2017-10-11 10:55:10
31,2.0,2497.83,3.64241,0.009758635092371468,2017-10-11 10:55:11
32,2.0,2503.77,3.63887,0.006800369427571003,2017-10-11 10:55:12
