x,y
0.0,0.0
0.0,0.0006
0.0,0.175
0.0017,0.175
0.0017,0.1794
0.0023,0.1794
0.0023,0.18
0.003,0.18
0.003,0.1806
0.0033,0.1806
0.0033,0.1863
0.0046,0.1863
0.0046,0.1869
0.005,0.1869
0.005,0.1888
0.0053,0.1888
0.0053,0.1894
0.0056,0.1894
0.0056,0.1901
0.006,0.1901
0.006,0.1913
0.0063,0.1913
0.0063,0.1932
0.0066,0.1932
0.0066,0.2026
0.0073,0.2026
0.0073,0.2033
0.0076,0.2033
0.0076,0.2052
0.0079,0.2052
0.0079,0.2108
0.0083,0.2108
0.0083,0.2209
0.0086,0.2209
0.0086,0.2215
0.0096,0.2215
0.0096,0.2253
0.0099,0.2253
0.0099,0.2272
0.0106,0.2272
0.0106,0.2284
0.0109,0.2284
0.0109,0.2316
0.0112,0.2316
0.0112,0.2329
0.0116,0.2329
0.0116,0.236
0.0119,0.236
0.0119,0.2385
0.0129,0.2385
0.0129,0.2404
0.0139,0.2404
0.0139,0.2429
0.0142,0.2429
0.0142,0.2435
0.0146,0.2435
0.0146,0.2454
0.0152,0.2454
0.0152,0.2461
0.0159,0.2461
0.0159,0.2486
0.0162,0.2486
0.0162,0.2549
0.0165,0.2549
0.0165,0.2712
0.0172,0.2712
0.0172,0.2756
0.0182,0.2756
0.0182,0.3166
0.0188,0.3166
0.0188,0.3184
0.0192,0.3184
0.0192,0.3197
0.0198,0.3197
0.0198,0.3575
0.0202,0.3575
0.0202,0.3593
0.0205,0.3593
0.0205,0.3612
0.0208,0.3612
0.0208,0.365
0.0212,0.365
0.0212,0.3782
0.0215,0.3782
0.0215,0.3946
0.0218,0.3946
0.0218,0.4512
0.0222,0.4512
0.0222,0.4519
0.0225,0.4519
0.0225,0.4563
0.0228,0.4563
0.0228,0.4575
0.0231,0.4575
0.0231,0.4588
0.0238,0.4588
0.0238,0.4651
0.0248,0.4651
0.0248,0.4739
0.0258,0.4739
0.0258,0.4758
0.0265,0.4758
0.0265,0.477
0.0268,0.477
0.0268,0.4795
0.0274,0.4795
0.0274,0.4814
0.0278,0.4814
0.0278,0.484
0.0284,0.484
0.0284,0.4846
0.0288,0.4846
0.0288,0.4852
0.0291,0.4852
0.0291,0.4858
0.0298,0.4858
0.0298,0.4877
0.0304,0.4877
0.0304,0.4884
0.0314,0.4884
0.0314,0.4934
0.0317,0.4934
0.0317,0.4947
0.0324,0.4947
0.0324,0.4953
0.0337,0.4953
0.0337,0.4959
0.0367,0.4959
0.0367,0.4991
0.037,0.4991
0.037,0.5022
0.0377,0.5022
0.0377,0.506
0.038,0.506
0.038,0.5072
0.0384,0.5072
0.0384,0.5085
0.039,0.5085
0.039,0.5142
0.0394,0.5142
0.0394,0.5154
0.0397,0.5154
0.0397,0.5179
0.04,0.5179
0.04,0.523
0.0403,0.523
0.0403,0.545
0.0407,0.545
0.0407,0.5494
0.0413,0.5494
0.0413,0.5607
0.0417,0.5607
0.0417,0.5639
0.042,0.5639
0.042,0.5683
0.0427,0.5683
0.0427,0.5727
0.043,0.5727
0.043,0.5853
0.0437,0.5853
0.0437,0.5859
0.044,0.5859
0.044,0.5884
0.0443,0.5884
0.0443,0.5903
0.0446,0.5903
0.0446,0.5909
0.045,0.5909
0.045,0.6155
0.0453,0.6155
0.0453,0.6161
0.0456,0.6161
0.0456,0.6167
0.046,0.6167
0.046,0.618
0.0463,0.618
0.0463,0.6211
0.0466,0.6211
0.0466,0.623
0.0473,0.623
0.0473,0.6306
0.0476,0.6306
0.0476,0.6318
0.0486,0.6318
0.0486,0.635
0.0489,0.635
0.0489,0.6356
0.0493,0.6356
0.0493,0.6362
0.0496,0.6362
0.0496,0.6369
