x,y
0.0,0.0
0.0009,0.0
0.0009,0.0623
0.0017,0.0623
0.0017,0.069
0.0026,0.069
0.0026,0.1414
0.0043,0.1414
0.0043,0.1465
0.0052,0.1465
0.0052,0.1734
0.0061,0.1734
0.0061,0.1801
0.0078,0.1801
0.0078,0.1936
0.0086,0.1936
0.0086,0.1953
0.0095,0.1953
0.0095,0.2003
0.0112,0.2003
0.0112,0.2037
0.0121,0.2037
0.0121,0.2054
0.013,0.2054
0.013,0.2071
0.0147,0.2071
0.0147,0.2138
0.0156,0.2138
0.0156,0.2205
0.0164,0.2205
0.0164,0.2357
0.0173,0.2357
0.0173,0.2391
0.0207,0.2391
0.0207,0.2475
0.0233,0.2475
0.0233,0.2508
0.0251,0.2508
0.0251,0.2525
0.0259,0.2525
0.0259,0.2542
0.0268,0.2542
0.0268,0.2593
0.0277,0.2593
0.0277,0.2643
0.0285,0.2643
0.0285,0.2761
0.0294,0.2761
0.0294,0.2946
0.0303,0.2946
0.0303,0.2963
0.0311,0.2963
0.0311,0.3098
0.032,0.3098
0.032,0.3114
0.0328,0.3114
0.0328,0.3283
0.0337,0.3283
0.0337,0.3333
0.0354,0.3333
0.0354,0.335
0.0363,0.335
0.0363,0.3367
0.0372,0.3367
0.0372,0.3401
0.038,0.3401
0.038,0.3418
0.0389,0.3418
0.0389,0.3485
0.0415,0.3485
0.0415,0.3519
0.0432,0.3519
0.0432,0.3552
0.0449,0.3552
0.0449,0.3569
0.0458,0.3569
0.0458,0.3586
0.0467,0.3586
0.0467,0.362
0.0484,0.362
0.0484,0.3704
0.0493,0.3704
0.0493,0.3754
0.0501,0.3754
0.0501,0.3855
0.0519,0.3855
0.0519,0.4024
0.0536,0.4024
0.0536,0.404
0.0545,0.404
0.0545,0.4057
0.0553,0.4057
0.0553,0.4192
0.0562,0.4192
0.0562,0.4259
0.057,0.4259
0.057,0.4293
0.0596,0.4293
0.0596,0.431
0.0605,0.431
0.0605,0.4495
0.0614,0.4495
0.0614,0.4596
0.0622,0.4596
0.0622,0.463
0.064,0.463
0.064,0.4697
0.0648,0.4697
0.0648,0.4798
0.0657,0.4798
0.0657,0.4832
0.0666,0.4832
0.0666,0.4882
0.0674,0.4882
0.0674,0.4899
0.0683,0.4899
0.0683,0.4916
0.0691,0.4916
0.0691,0.4933
0.07,0.4933
0.07,0.4966
0.0709,0.4966
0.0709,0.4983
0.0717,0.4983
0.0717,0.5034
0.0752,0.5034
0.0752,0.5084
0.0761,0.5084
0.0761,0.5118
0.0769,0.5118
0.0769,0.5135
0.0778,0.5135
0.0778,0.5286
0.0795,0.5286
0.0795,0.5303
0.0804,0.5303
0.0804,0.5354
0.0812,0.5354
0.0812,0.5421
0.083,0.5421
0.083,0.5438
0.0856,0.5438
0.0856,0.5488
0.0882,0.5488
0.0882,0.5522
0.0899,0.5522
0.0899,0.5556
0.0908,0.5556
0.0908,0.5572
0.0933,0.5572
0.0933,0.5657
0.0942,0.5657
0.0942,0.5673
0.0951,0.5673
0.0951,0.5774
0.0959,0.5774
0.0959,0.5808
0.0977,0.5808
0.0977,0.5825
0.0994,0.5825
0.0994,0.5842
0.1029,0.5842
0.1029,0.5892
0.1037,0.5892
0.1037,0.596
0.1054,0.596
0.1054,0.5976
0.1089,0.5976
0.1089,0.6094
0.1098,0.6094
0.1098,0.6111
0.1167,0.6111
0.1167,0.6178
0.1193,0.6178
0.1193,0.6195
0.1201,0.6195
0.1201,0.6212
0.1219,0.6212
0.1219,0.6229
0.1262,0.6229
0.1262,0.6246
0.1279,0.6246
0.1279,0.6263
0.1296,0.6263
0.1296,0.6279
0.1305,0.6279
0.1305,0.6313
0.1314,0.6313
0.1314,0.6347
0.1331,0.6347
0.1331,0.6364
0.1348,0.6364
0.1348,0.6414
0.1357,0.6414
0.1357,0.6431
0.1435,0.6431
0.1435,0.6448
0.1452,0.6448
0.1452,0.6481
0.1478,0.6481
0.1478,0.6515
0.1504,0.6515
0.1504,0.6549
