x,y
0.0,0.0
0.0,0.0019
0.0,0.0531
0.0001,0.0531
0.0001,0.055
0.0002,0.055
0.0002,0.0588
0.0004,0.0588
0.0004,0.0607
0.0005,0.0607
0.0005,0.1461
0.0006,0.1461
0.0006,0.148
0.0007,0.148
0.0007,0.1708
0.0008,0.1708
0.0008,0.1973
0.0009,0.1973
0.0009,0.2011
0.0011,0.2011
0.0011,0.2182
0.0012,0.2182
0.0012,0.2732
0.002,0.2732
0.002,0.2751
0.0039,0.2751
0.0039,0.277
0.0043,0.277
0.0043,0.2789
0.0059,0.2789
0.0059,0.2808
0.0063,0.2808
0.0063,0.2827
0.0083,0.2827
0.0083,0.2846
0.0093,0.2846
0.0093,0.2884
0.0094,0.2884
0.0094,0.2903
0.0115,0.2903
0.0115,0.2922
0.0131,0.2922
0.0131,0.296
0.0139,0.296
0.0139,0.2979
0.0156,0.2979
0.0156,0.2998
0.0158,0.2998
0.0158,0.3017
0.0164,0.3017
0.0164,0.3036
0.0167,0.3036
0.0167,0.3055
0.0169,0.3055
0.0169,0.3093
0.0175,0.3093
0.0175,0.3112
0.0176,0.3112
0.0176,0.3131
0.0187,0.3131
0.0187,0.315
0.019,0.315
0.019,0.3169
0.0202,0.3169
0.0202,0.3207
0.0203,0.3207
0.0203,0.3245
0.0204,0.3245
0.0204,0.3264
0.021,0.3264
0.021,0.3283
0.0216,0.3283
0.0216,0.3302
0.0221,0.3302
0.0221,0.3321
0.0223,0.3321
0.0223,0.334
0.0224,0.334
0.0224,0.3359
0.0226,0.3359
0.0226,0.3378
0.0228,0.3378
0.0228,0.3397
0.023,0.3397
0.023,0.3416
0.0247,0.3416
0.0247,0.3435
0.025,0.3435
0.025,0.3454
0.0252,0.3454
0.0252,0.3472
0.0253,0.3472
0.0253,0.3491
0.0254,0.3491
0.0254,0.351
0.0258,0.351
0.0258,0.3529
0.0259,0.3529
0.0259,0.3567
0.026,0.3567
0.026,0.3586
0.0273,0.3586
0.0273,0.3605
0.0276,0.3605
0.0276,0.3662
0.0278,0.3662
0.0278,0.3681
0.0286,0.3681
0.0286,0.37
0.0289,0.37
0.0289,0.3719
0.0292,0.3719
0.0292,0.3757
0.0293,0.3757
0.0293,0.3776
0.0294,0.3776
0.0294,0.3814
0.0295,0.3814
0.0295,0.3833
0.03,0.3833
0.03,0.3852
0.0302,0.3852
0.0302,0.3871
0.0306,0.3871
0.0306,0.389
0.0312,0.389
0.0312,0.3909
0.0314,0.3909
0.0314,0.3928
0.0319,0.3928
0.0319,0.4023
0.032,0.4023
0.032,0.4042
0.0322,0.4042
0.0322,0.4061
0.0324,0.4061
0.0324,0.4118
0.0325,0.4118
0.0325,0.4156
0.0326,0.4156
0.0326,0.4213
0.0327,0.4213
0.0327,0.4288
0.0328,0.4288
0.0328,0.4307
0.0333,0.4307
0.0333,0.4345
0.0334,0.4345
0.0334,0.4364
0.0338,0.4364
0.0338,0.4383
0.0339,0.4383
0.0339,0.4402
0.034,0.4402
0.034,0.4421
0.0352,0.4421
0.0352,0.4459
0.0353,0.4459
0.0353,0.4497
0.0367,0.4497
0.0367,0.4554
0.0391,0.4554
0.0391,0.4573
0.0417,0.4573
0.0417,0.4592
0.0419,0.4592
0.0419,0.4611
0.0423,0.4611
0.0423,0.463
0.0425,0.463
0.0425,0.4649
0.0426,0.4649
0.0426,0.4668
0.0435,0.4668
0.0435,0.4687
0.0438,0.4687
