x,y
0.0,0.0
0.0,0.0028
0.0,0.0055
0.001,0.0055
0.001,0.0083
0.0016,0.0083
0.0016,0.0139
0.0023,0.0139
0.0023,0.0166
0.0032,0.0166
0.0032,0.0194
0.0039,0.0194
0.0039,0.0249
0.0042,0.0249
0.0042,0.0305
0.0045,0.0305
0.0045,0.0471
0.0055,0.0471
0.0055,0.0554
0.0062,0.0554
0.0062,0.0582
0.0065,0.0582
0.0065,0.0637
0.0081,0.0637
0.0081,0.0859
0.0084,0.0859
0.0084,0.0886
0.0091,0.0886
0.0091,0.0914
0.01,0.0914
0.01,0.0942
0.0117,0.0942
0.0117,0.0997
0.012,0.0997
0.012,0.1053
0.0136,0.1053
0.0136,0.1191
0.0139,0.1191
0.0139,0.1219
0.0149,0.1219
0.0149,0.1274
0.0152,0.1274
0.0152,0.133
0.0155,0.133
0.0155,0.1357
0.0172,0.1357
0.0172,0.1385
0.0181,0.1385
0.0181,0.1468
0.0227,0.1468
0.0227,0.1551
0.0253,0.1551
0.0253,0.1607
0.0269,0.1607
0.0269,0.1662
0.0282,0.1662
0.0282,0.169
0.0288,0.169
0.0288,0.1717
0.0311,0.1717
0.0311,0.1745
0.0333,0.1745
0.0333,0.1801
0.0356,0.1801
0.0356,0.1828
0.0363,0.1828
0.0363,0.1856
0.0369,0.1856
0.0369,0.1884
0.0376,0.1884
0.0376,0.1911
0.0382,0.1911
0.0382,0.1939
0.0385,0.1939
0.0385,0.1967
0.0388,0.1967
0.0388,0.1994
0.0398,0.1994
0.0398,0.2022
0.0401,0.2022
0.0401,0.205
0.0414,0.205
0.0414,0.2133
0.0434,0.2133
0.0434,0.2161
0.045,0.2161
0.045,0.2188
0.0456,0.2188
0.0456,0.2216
0.0463,0.2216
0.0463,0.2327
0.0489,0.2327
0.0489,0.2355
0.0495,0.2355
0.0495,0.2382
0.0518,0.2382
0.0518,0.241
0.0528,0.241
0.0528,0.2438
0.0531,0.2438
0.0531,0.2493
0.0534,0.2493
0.0534,0.2521
0.0537,0.2521
0.0537,0.2548
0.0541,0.2548
0.0541,0.2576
0.0557,0.2576
0.0557,0.2604
0.0586,0.2604
0.0586,0.2632
0.0592,0.2632
0.0592,0.2659
0.0596,0.2659
0.0596,0.2687
0.0602,0.2687
0.0602,0.2715
0.0612,0.2715
0.0612,0.2798
0.0618,0.2798
0.0618,0.2825
0.0628,0.2825
0.0628,0.2909
0.0631,0.2909
0.0631,0.2936
0.0635,0.2936
0.0635,0.2964
0.0651,0.2964
0.0651,0.3019
0.0657,0.3019
0.0657,0.3047
0.066,0.3047
0.066,0.3075
0.067,0.3075
0.067,0.3102
0.0673,0.3102
0.0673,0.313
0.068,0.313
0.068,0.3158
0.0683,0.3158
0.0683,0.3186
0.0693,0.3186
0.0693,0.3324
0.0702,0.3324
0.0702,0.3407
0.0709,0.3407
0.0709,0.3435
0.0712,0.3435
0.0712,0.3518
0.0715,0.3518
0.0715,0.3601
0.0719,0.3601
0.0719,0.3629
0.0722,0.3629
0.0722,0.3657
0.0725,0.3657
0.0725,0.3684
0.0732,0.3684
0.0732,0.3712
0.0735,0.3712
0.0735,0.3795
0.0738,0.3795
0.0738,0.3823
0.0741,0.3823
0.0741,0.3906
0.0751,0.3906
0.0751,0.3934
0.077,0.3934
0.077,0.4017
0.0777,0.4017
0.0777,0.4044
0.0787,0.4044
0.0787,0.4072
0.079,0.4072
0.079,0.4127
0.0793,0.4127
0.0793,0.4155
0.08,0.4155
0.08,0.4183
0.0806,0.4183
0.0806,0.4238
0.0809,0.4238
0.0809,0.4266
0.0816,0.4266
0.0816,0.4294
0.0826,0.4294
0.0826,0.4321
0.0845,0.4321
0.0845,0.4349
0.0848,0.4349
0.0848,0.4377
0.0851,0.4377
0.0851,0.4404
0.0855,0.4404
0.0855,0.446
0.0864,0.446
0.0864,0.4488
0.0874,0.4488
0.0874,0.4543
0.0887,0.4543
0.0887,0.4598
0.0893,0.4598
0.0893,0.4626
0.0913,0.4626
